pr_number,commit_sha,tool_version,config_hash,exit_code,finding_count,execution_status,diff_mode,first_parent_empty,build_tags,raw_issue_count,dropped_outside_diff,analyzed_go_file_count
271,c718a713adabe64fdc201533ea079717aaf15299,2.13.2,sha256:8ed7fb90c68635289e5645f6cf673a911145a1a59b969e9cc50c94790a302aa7,0,0,ok,merge_parents_three_dot,false,sqlite_fts5,0,0,1
354,0ac83b202744ff53c4295605f18e350010ee2eb1,2.13.2,sha256:8ed7fb90c68635289e5645f6cf673a911145a1a59b969e9cc50c94790a302aa7,0,0,ok,merge_parents_three_dot,false,sqlite_fts5,0,0,1
372,f583f801f83a890fc109cb1e6ebb884221cb5c85,2.13.2,sha256:8ed7fb90c68635289e5645f6cf673a911145a1a59b969e9cc50c94790a302aa7,0,0,ok,merge_parents_three_dot,false,sqlite_fts5,0,0,5
457,e1044a52bfdca7b1297140514df56eb4b1724cf8,2.13.2,sha256:8ed7fb90c68635289e5645f6cf673a911145a1a59b969e9cc50c94790a302aa7,0,0,ok,merge_parents_three_dot,true,sqlite_fts5,0,0,1
507,8328235a30ac0bdda6b964fae5d475f63af79389,2.13.2,sha256:8ed7fb90c68635289e5645f6cf673a911145a1a59b969e9cc50c94790a302aa7,0,0,ok,merge_parents_three_dot,false,sqlite_fts5,0,0,3
541,7b254ab066f5a1b5a4ec253d37d7efae1e980df4,2.13.2,sha256:8ed7fb90c68635289e5645f6cf673a911145a1a59b969e9cc50c94790a302aa7,0,0,ok,merge_parents_three_dot,false,sqlite_fts5,0,0,2
691,64bd948f107fbddc03e3e9f02cb16a2db9fc0d78,2.13.2,sha256:8ed7fb90c68635289e5645f6cf673a911145a1a59b969e9cc50c94790a302aa7,0,0,ok,merge_parents_three_dot,false,sqlite_fts5,0,0,4
702,abebfc2f9193603f67b25ac6b976623623857826,2.13.2,sha256:8ed7fb90c68635289e5645f6cf673a911145a1a59b969e9cc50c94790a302aa7,0,0,ok,merge_parents_three_dot,false,sqlite_fts5,0,0,4
756,d61a365d2e8e0a4f95e36629de73b101b9a2199a,2.13.2,sha256:8ed7fb90c68635289e5645f6cf673a911145a1a59b969e9cc50c94790a302aa7,0,0,ok,merge_parents_three_dot,false,sqlite_fts5,0,0,4
1277,85548249a2606197593e42538b572d5c5a3a4abb,2.13.2,sha256:8ed7fb90c68635289e5645f6cf673a911145a1a59b969e9cc50c94790a302aa7,0,0,ok,merge_parents_three_dot,false,sqlite_fts5 sqlite_math_functions,0,0,7
